sub_region,country,drug,year,wholesale_price,retail_price
North America,United States of America,Cocaine,1990,48300.0,79.95
North America,United States of America,Cocaine,1991,48100.0,76.58
North America,United States of America,Cocaine,1992,44730.0,72.79
North America,United States of America,Cocaine,1993,42180.0,74.11
North America,United States of America,Cocaine,1994,38640.0,68.01
North America,United States of America,Cocaine,1995,35700.0,72.01
North America,United States of America,Cocaine,1996,34320.0,73.03
North America,United States of America,Cocaine,1997,31960.0,72.37
North America,United States of America,Cocaine,1998,30870.0,72.49
North America,United States of America,Cocaine,1999,29580.0,70.22
North America,United States of America,Cocaine,2000,21500.0,76.73
North America,United States of America,Cocaine,2001,23000.0,73.54
North America,United States of America,Cocaine,2002,21500.0,71.03
North America,United States of America,Cocaine,2003,22066.0,73.78
North America,United States of America,Cocaine,2004,20500.0,69.63
North America,United States of America,Cocaine,2005,20500.0,66.18
North America,United States of America,Cocaine,2006,26500.0,64.03
North America,United States of America,Cocaine,2007,31000.0,69.62
North America,United States of America,Cocaine,2008,26500.0,78.28
North America,United States of America,Cocaine,2009,28250.0,83.68
North America,United States of America,Cocaine,2010,30750.0,83.74
North America,United States of America,Cocaine,2011,40800.0,84.88
North America,United States of America,Cocaine,2012,29000.0,96.39
North America,United States of America,Cocaine,2013,28750.0,98.72
North America,United States of America,Cocaine,2014,29000.0,103.09
North America,United States of America,Cocaine,2015,28250.0,103.0
North America,United States of America,Cocaine,2016,28000.0,91.79
North America,United States of America,Cocaine,2017,28000.0,98.0
North America,United States of America,Cocaine,2018,26000.0,101.0
North America,United States of America,Cocaine,2019,29000.0,120.0
North America,United States of America,Cocaine,2020,29000.0,120.0
North America,United States of America,Heroin,1990,162500.0,359.02
North America,United States of America,Heroin,1991,155000.0,427.78
North America,United States of America,Heroin,1992,150000.0,480.52
North America,United States of America,Heroin,1993,146000.0,373.51
North America,United States of America,Heroin,1994,142500.0,399.68
North America,United States of America,Heroin,1995,146000.0,395.16
North America,United States of America,Heroin,1996,141875.0,339.28
North America,United States of America,Heroin,1997,129375.0,357.01
North America,United States of America,Heroin,1998,125000.0,322.75
North America,United States of America,Heroin,1999,107000.0,310.18
North America,United States of America,Heroin,2000,81200.0,307.06
North America,United States of America,Heroin,2001,59500.0,284.89
North America,United States of America,Heroin,2002,50750.0,282.35
North America,United States of America,Heroin,2003,68800.0,267.88
North America,United States of America,Heroin,2004,65500.0,252.84
North America,United States of America,Heroin,2005,65000.0,255.61
North America,United States of America,Heroin,2006,65000.0,258.61
North America,United States of America,Heroin,2007,71200.0,229.52
North America,United States of America,Heroin,2008,57500.0,310.33
North America,United States of America,Heroin,2009,65053.25,274.89
North America,United States of America,Heroin,2010,65750.0,279.03
North America,United States of America,Heroin,2011,55583.33,260.43
North America,United States of America,Heroin,2012,61000.0,271.3
North America,United States of America,Heroin,2013,61000.0,259.59
North America,United States of America,Heroin,2014,68333.33,264.68
North America,United States of America,Heroin,2015,59500.0,264.94
North America,United States of America,Heroin,2016,53333.33,293.64
North America,United States of America,Heroin,2017,53333.33,360.85
North America,United States of America,Heroin,2018,53000.0,393.85
North America,United States of America,Heroin,2019,53000.0,393.85
North America,United States of America,Heroin,2020,53000.0,393.85
Western and Central Europe,Austria,Cocaine,1990,66000.0,198.0
Western and Central Europe,Austria,Cocaine,1991,66000.0,180.0
Western and Central Europe,Austria,Cocaine,1992,54000.0,167.0
Western and Central Europe,Austria,Cocaine,1993,40000.0,120.0
Western and Central Europe,Austria,Cocaine,1994,41946.0,126.0
Western and Central Europe,Austria,Cocaine,1995,52084.0,156.0
Western and Central Europe,Austria,Cocaine,1996,45875.0,138.0
Western and Central Europe,Austria,Cocaine,1997,56723.0,118.0
Western and Central Europe,Austria,Cocaine,1998,54440.0,113.0
Western and Central Europe,Austria,Cocaine,1999,38859.0,93.0
Western and Central Europe,Austria,Cocaine,2000,47094.0,94.0
Western and Central Europe,Austria,Cocaine,2001,43995.0,78.0
Western and Central Europe,Austria,Cocaine,2002,42385.0,71.0
Western and Central Europe,Austria,Cocaine,2003,59300.0,90.0
Western and Central Europe,Austria,Cocaine,2004,55894.0,103.0
Western and Central Europe,Austria,Cocaine,2005,59757.0,101.0
Western and Central Europe,Austria,Cocaine,2006,50185.0,78.0
Western and Central Europe,Austria,Cocaine,2007,61661.0,99.0
Western and Central Europe,Austria,Cocaine,2008,66176.0,110.0
Western and Central Europe,Austria,Cocaine,2009,48668.0,97.0
Western and Central Europe,Austria,Cocaine,2010,52989.0,97.0
Western and Central Europe,Austria,Cocaine,2011,62823.0,103.0
Western and Central Europe,Austria,Cocaine,2012,51546.0,103.0
Western and Central Europe,Austria,Cocaine,2013,73351.0,100.0
Western and Central Europe,Austria,Cocaine,2014,65797.0,132.0
Western and Central Europe,Austria,Cocaine,2015,54705.0,109.0
